计算机应用COMPUTER APPLICATIONS1999年 第19卷 第6期 Vol.19 No.6 1999Windows 95下串行通信编程技术及其实现郭峰林　朱才连　　摘　要　本文首先简单讨论MSDOS、16位Windows和Windows95下的通信编程差别，然后着重讲述32位Windows95 环境下的通信编程技术，最后给出利用该技术实现串行通信的实例。
0	 ATT	 1	 ﻿	 v
1	 FOB	 2	 计算机	 n
2	 ATT	 9	 应用	 v
3	 CMP	 2	 COMPUTER	 ws
4	 ATT	 5	 APPLICATIONS1999	 m
5	 ATT	 7	 年	 q
6	 ATT	 7	 第19	 m
7	 ATT	 9	 卷	 q
8	 ATT	 9	 第6	 m
9	 ATT	 13	 期	 q
10	 ATT	 11	 Vol.19	 m
11	 ATT	 12	 No.6	 m
12	 ATT	 13	 1999Windows	 m
13	 ATT	 14	 95	 m
14	 ADV	 15	 下	 nd
15	 HED	 -1	 串行	 v
16	 ATT	 18	 通信	 v
17	 COO	 16	 编程	 v
18	 VOB	 15	 技术	 n
19	 ADV	 20	 及其	 c
20	 COO	 15	 实现	 v
21	 ATT	 22	 郭峰林	 nh
22	 ATT	 23	 	 n
23	 SBV	 24	 朱才连	 nh
24	 VOB	 20	 	 v
25	 COO	 20	 摘	 v
26	 VOB	 25	 	 n
27	 ADV	 28	 要	 v
28	 COO	 25	 	 v
29	 SBV	 32	 本文	 r
30	 ADV	 32	 首先	 d
31	 ADV	 32	 简单	 a
32	 VOB	 28	 讨论	 v
33	 ATT	 44	 MSDOS	 ws
34	 WP	 44	 、	 wp
35	 ATT	 36	 16	 m
36	 ATT	 44	 位	 q
37	 ATT	 44	 Windows	 ws
38	 LAD	 42	 和	 c
39	 ATT	 40	 Windows95	 ws
40	 ATT	 42	 下	 nd
41	 RAD	 40	 的	 u
42	 ATT	 44	 通信	 v
43	 VOB	 42	 编程	 n
44	 VOB	 32	 差别	 n
45	 WP	 20	 ，	 wp
46	 ADV	 48	 然后	 c
47	 ADV	 48	 着重	 v
48	 ADV	 55	 讲述	 v
49	 ATT	 50	 32	 m
50	 ATT	 52	 位	 q
51	 ATT	 52	 Windows95	 ws
52	 ATT	 53	 环境	 n
53	 CMP	 48	 下	 nd
54	 RAD	 48	 的	 u
55	 COO	 20	 通信	 v
56	 ATT	 57	 编程	 n
57	 VOB	 55	 技术	 n
58	 WP	 20	 ，	 wp
59	 ADV	 60	 最后	 nd
60	 COO	 20	 给	 v
61	 CMP	 60	 出	 v
62	 ATT	 69	 利用	 v
63	 ATT	 64	 该	 r
64	 VOB	 62	 技术	 n
65	 COO	 62	 实现	 v
66	 ADV	 67	 串行	 v
67	 VOB	 65	 通信	 v
68	 RAD	 65	 的	 u
69	 VOB	 60	 实例	 n
70	 WP	 15	 。	 wp

在诸多的应用开发中，与外部硬件设备通信是常见的应用，而串行通信以其简单的硬件连接方式常常成为应用开发者的首选。
0	 ADV	 12	 在	 p
1	 ADV	 3	 诸多	 m
2	 RAD	 1	 的	 u
3	 ATT	 5	 应用	 v
4	 COO	 3	 开发	 v
5	 POB	 0	 中	 nd
6	 WP	 0	 ，	 wp
7	 ADV	 11	 与	 p
8	 ATT	 9	 外部	 nd
9	 ATT	 10	 硬件	 n
10	 POB	 7	 设备	 n
11	 SBV	 12	 通信	 v
12	 HED	 -1	 是	 v
13	 ADV	 15	 常见	 a
14	 RAD	 13	 的	 u
15	 VOB	 12	 应用	 v
16	 WP	 12	 ，	 wp
17	 ADV	 28	 而	 c
18	 ATT	 26	 串行	 v
19	 ADV	 25	 通信	 v
20	 ADV	 25	 以	 p
21	 ATT	 24	 其	 r
22	 ATT	 24	 简单	 a
23	 RAD	 22	 的	 u
24	 POB	 20	 硬件	 n
25	 ATT	 26	 连接	 v
26	 SBV	 28	 方式	 n
27	 ADV	 28	 常常	 d
28	 COO	 12	 成为	 v
29	 ATT	 32	 应用	 v
30	 VOB	 29	 开发者	 n
31	 RAD	 29	 的	 u
32	 VOB	 28	 首选	 v
33	 WP	 12	 。	 wp

然而串行通信编程从MSDOS、Windows3.1到Windows95各不相同，虽然在功能上越来越强，但是编程的复杂度也相应增大。
0	 ADV	 12	 然而	 c
1	 ATT	 3	 串行	 v
2	 COO	 1	 通信	 v
3	 SBV	 12	 编程	 n
4	 ADV	 8	 从	 p
5	 ATT	 7	 MSDOS	 ws
6	 WP	 7	 、	 wp
7	 POB	 4	 Windows3.1	 ws
8	 ADV	 12	 到	 v
9	 POB	 8	 Windows95	 ws
10	 ADV	 12	 各	 r
11	 ADV	 12	 不	 d
12	 HED	 -1	 相同	 a
13	 WP	 12	 ，	 wp
14	 ADV	 19	 虽然	 c
15	 ADV	 19	 在	 p
16	 ATT	 17	 功能	 n
17	 POB	 15	 上	 nd
18	 ADV	 19	 越来越	 d
19	 COO	 12	 强	 a
20	 WP	 12	 ，	 wp
21	 ADV	 26	 但是	 c
22	 ATT	 24	 编程	 v
23	 RAD	 22	 的	 u
24	 SBV	 26	 复杂度	 n
25	 ADV	 26	 也	 d
26	 COO	 12	 相应	 v
27	 VOB	 26	 增大	 v
28	 WP	 12	 。	 wp

　　笔者最近在Windows95环境下开发一套“公安110智能报警系统”，该系统需要对报警电话进行实时监控，以便能实时地进行接警和处警。
0	 ATT	 1	 	 v
1	 SBV	 7	 笔者	 n
2	 ADV	 7	 最近	 nt
3	 ADV	 7	 在	 p
4	 ATT	 5	 Windows95	 ws
5	 ATT	 6	 环境	 n
6	 POB	 3	 下	 nd
7	 HED	 -1	 开发	 v
8	 ATT	 9	 一	 m
9	 ATT	 15	 套	 q
10	 WP	 15	 “	 wp
11	 ATT	 13	 公安	 n
12	 ATT	 13	 110	 m
13	 SBV	 14	 智能	 n
14	 ATT	 15	 报警	 v
15	 VOB	 7	 系统	 n
16	 WP	 15	 ”	 wp
17	 WP	 7	 ，	 wp
18	 ATT	 19	 该	 r
19	 SBV	 20	 系统	 n
20	 COO	 7	 需要	 v
21	 ADV	 24	 对	 p
22	 POB	 21	 报警	 v
23	 VOB	 22	 电话	 n
24	 VOB	 20	 进行	 v
25	 SBV	 26	 实时	 n
26	 VOB	 24	 监控	 v
27	 WP	 20	 ，	 wp
28	 ADV	 32	 以便	 d
29	 ADV	 32	 能	 v
30	 ATT	 31	 实时	 n
31	 LAD	 29	 地	 u
32	 COO	 20	 进行	 v
33	 VOB	 32	 接警	 v
34	 LAD	 35	 和	 c
35	 COO	 33	 处警	 v
36	 WP	 7	 。	 wp

报警电话的监控是通过检测从电话交换机中馈送的RS232标准的串行通信信号，其中串行口通信采用3线方式。
0	 SBV	 4	 报警	 v
1	 VOB	 0	 电话	 n
2	 RAD	 0	 的	 u
3	 SBV	 4	 监控	 v
4	 HED	 -1	 是	 v
5	 ADV	 16	 通过	 p
6	 POB	 5	 检测	 v
7	 ADV	 11	 从	 p
8	 ATT	 9	 电话	 n
9	 ATT	 10	 交换机	 n
10	 POB	 7	 中	 nd
11	 ATT	 14	 馈送	 v
12	 RAD	 11	 的	 u
13	 ATT	 14	 RS232	 ws
14	 VOB	 6	 标准	 n
15	 RAD	 6	 的	 u
16	 VOB	 4	 串行	 v
17	 COO	 16	 通信	 v
18	 VOB	 17	 信号	 n
19	 WP	 16	 ，	 wp
20	 ATT	 21	 其中	 r
21	 COO	 16	 串	 v
22	 VOB	 21	 行口	 n
23	 COO	 21	 通信	 v
24	 VOB	 23	 采用	 v
25	 ATT	 26	 3	 m
26	 ATT	 27	 线	 q
27	 VOB	 24	 方式	 n
28	 WP	 4	 。	 wp

该系统采用Windows95下的Visual C++ 5.0编写，由于有关Windows95的串行口通信编程方面的资料少，串行通信编程的实例也不多见，笔者在成功开发“公安110智能报警系统”的基础上，取得了一些经验，现在将有关串行口通信方面的一些关键技术写出来，供广大的编程者借鉴、参考。
0	 ATT	 1	 该	 r
1	 SBV	 2	 系统	 n
2	 HED	 -1	 采用	 v
3	 ATT	 4	 Windows95	 ws
4	 ATT	 9	 下	 nd
5	 RAD	 4	 的	 u
6	 SBV	 9	 Visual	 ws
7	 SBV	 9	 C	 ws
8	 ADV	 9	 5.0	 m
9	 VOB	 2	 编写	 v
10	 WP	 2	 ，	 wp
11	 ADV	 31	 由于	 c
12	 ATT	 18	 有关	 v
13	 POB	 12	 Windows95	 ws
14	 RAD	 12	 的	 u
15	 ATT	 18	 串行口	 ns
16	 ATT	 18	 通信	 v
17	 VOB	 16	 编程	 n
18	 ATT	 20	 方面	 n
19	 RAD	 18	 的	 u
20	 SBV	 21	 资料	 n
21	 POB	 11	 少	 a
22	 WP	 11	 ，	 wp
23	 ATT	 27	 串行	 v
24	 COO	 23	 通信	 v
25	 VOB	 24	 编程	 n
26	 RAD	 23	 的	 u
27	 FOB	 31	 实例	 n
28	 ADV	 31	 也	 d
29	 ADV	 31	 不	 d
30	 ADV	 31	 多	 a
31	 COO	 2	 见	 v
32	 WP	 2	 ，	 wp
33	 SBV	 48	 笔者	 n
34	 ADV	 48	 在	 p
35	 ADV	 36	 成功	 a
36	 ATT	 45	 开发	 v
37	 WP	 41	 “	 wp
38	 ATT	 40	 公安	 n
39	 ATT	 40	 110	 m
40	 SBV	 41	 智能	 n
41	 COO	 36	 报警	 v
42	 VOB	 41	 系统	 n
43	 WP	 41	 ”	 wp
44	 RAD	 36	 的	 u
45	 ATT	 46	 基础	 n
46	 POB	 34	 上	 nd
47	 WP	 34	 ，	 wp
48	 COO	 2	 取得	 v
49	 RAD	 48	 了	 u
50	 ATT	 51	 一些	 m
51	 VOB	 48	 经验	 n
52	 WP	 2	 ，	 wp
53	 ADV	 64	 现在	 nt
54	 ADV	 64	 将	 p
55	 ATT	 63	 有关	 v
56	 ATT	 59	 串	 v
57	 VOB	 56	 行口	 n
58	 COO	 56	 通信	 v
59	 POB	 55	 方面	 n
60	 RAD	 55	 的	 u
61	 ATT	 63	 一些	 m
62	 ATT	 63	 关键	 a
63	 POB	 54	 技术	 n
64	 COO	 2	 写	 v
65	 CMP	 64	 出来	 v
66	 WP	 64	 ，	 wp
67	 COO	 64	 供	 v
68	 ATT	 70	 广大	 b
69	 RAD	 68	 的	 u
70	 VOB	 67	 编程者	 n
71	 VOB	 67	 借鉴	 v
72	 WP	 73	 、	 wp
73	 COO	 71	 参考	 v
74	 WP	 2	 。	 wp

2　下串行通信编程特征　　MSDOS下的串行通信编程较简单，通信编程可以直接对串口的物理地址进行编程操作同时配合BIOS调用，即可实现串行口数据读写。
0	 ATT	 1	 2	 m
1	 ATT	 2	 	 q
2	 ADV	 3	 下	 nd
3	 ATT	 13	 串行	 v
4	 COO	 3	 通信	 v
5	 COO	 3	 编程	 v
6	 VOB	 5	 特征	 n
7	 COO	 3	 	 v
8	 ATT	 9	 MSDOS	 ws
9	 CMP	 7	 下	 nd
10	 RAD	 3	 的	 u
11	 ATT	 13	 串行	 v
12	 COO	 11	 通信	 v
13	 SBV	 15	 编程	 n
14	 ADV	 15	 较	 d
15	 HED	 -1	 简单	 a
16	 WP	 15	 ，	 wp
17	 SBV	 28	 通信	 v
18	 VOB	 17	 编程	 n
19	 ADV	 28	 可以	 v
20	 ADV	 26	 直接	 a
21	 ADV	 26	 对	 p
22	 ATT	 25	 串口	 ns
23	 RAD	 22	 的	 u
24	 ATT	 25	 物理	 n
25	 POB	 21	 地址	 n
26	 ATT	 28	 进行	 v
27	 VOB	 26	 编程	 n
28	 COO	 15	 操作	 v
29	 ADV	 30	 同时	 d
30	 COO	 28	 配合	 v
31	 SBV	 32	 BIOS	 ws
32	 COO	 30	 调用	 v
33	 WP	 28	 ，	 wp
34	 COO	 28	 即可	 v
35	 VOB	 34	 实现	 v
36	 ATT	 38	 串	 v
37	 VOB	 36	 行口	 n
38	 VOB	 35	 数据	 n
39	 COO	 35	 读	 v
40	 COO	 39	 写	 v
41	 WP	 15	 。	 wp

　　在Windows下，串行口作为系统资源，由设备驱动程序统一管理，用户不能象在MSDOS下一样直接对串行口硬件端口进行编程。
0	 ADV	 6	 	 v
1	 CMP	 0	 在	 p
2	 ATT	 3	 Windows	 ws
3	 POB	 1	 下	 nd
4	 WP	 1	 ，	 wp
5	 COO	 0	 串行口	 v
6	 HED	 -1	 作为	 v
7	 ATT	 8	 系统	 n
8	 VOB	 6	 资源	 n
9	 WP	 6	 ，	 wp
10	 ADV	 12	 由	 p
11	 POB	 10	 设备	 n
12	 COO	 6	 驱动	 v
13	 SBV	 14	 程序	 n
14	 ADV	 15	 统一	 a
15	 VOB	 12	 管理	 v
16	 WP	 12	 ，	 wp
17	 SBV	 20	 用户	 n
18	 ADV	 19	 不	 d
19	 ADV	 20	 能	 v
20	 SBV	 31	 象	 n
21	 ADV	 31	 在	 p
22	 ATT	 23	 MSDOS	 ws
23	 POB	 21	 下	 nd
24	 RAD	 21	 一样	 u
25	 ADV	 31	 直接	 a
26	 ADV	 31	 对	 p
27	 POB	 26	 串	 v
28	 ATT	 29	 行口	 n
29	 ATT	 30	 硬件	 n
30	 VOB	 27	 端口	 n
31	 COO	 12	 进行	 v
32	 VOB	 31	 编程	 v
33	 WP	 12	 。	 wp

16位的Windows3.1操作系统提供了专门的串行通信的API函数：OpenComm()、CloseComm()、ReadComm()、 WriteComm()等，通过这些专用API（Application Programming Interfaces）函数来设置和读、写串行口。
0	 ATT	 1	 16	 m
1	 ATT	 4	 位	 q
2	 RAD	 1	 的	 u
3	 ATT	 4	 Windows3.1	 ws
4	 ADV	 5	 操作系统	 i
5	 HED	 -1	 提供	 v
6	 RAD	 5	 了	 u
7	 ATT	 13	 专门	 b
8	 RAD	 7	 的	 u
9	 ATT	 13	 串行	 v
10	 COO	 9	 通信	 v
11	 RAD	 9	 的	 u
12	 ATT	 13	 API	 ws
13	 VOB	 5	 函数	 n
14	 WP	 13	 ：	 wp
15	 CMP	 13	 OpenComm	 nh
16	 WP	 23	 (	 wp
17	 WP	 23	 )	 wp
18	 WP	 23	 、	 wp
19	 ATT	 23	 CloseComm	 ws
20	 WP	 23	 (	 wp
21	 WP	 23	 )	 wp
22	 WP	 23	 、	 wp
23	 COO	 13	 ReadComm	 nh
24	 WP	 27	 (	 wp
25	 WP	 27	 )	 wp
26	 WP	 27	 、	 wp
27	 COO	 23	 WriteComm	 nh
28	 WP	 23	 (	 wp
29	 WP	 23	 )	 wp
30	 RAD	 13	 等	 u
31	 WP	 5	 ，	 wp
32	 ADV	 43	 通过	 p
33	 ATT	 41	 这些	 r
34	 ATT	 41	 专用	 v
35	 VOB	 34	 API	 ws
36	 WP	 37	 （	 wp
37	 ATT	 41	 Application	 ws
38	 ATT	 41	 Programming	 ws
39	 ATT	 41	 Interfaces	 ws
40	 WP	 39	 ）	 wp
41	 POB	 32	 函数	 n
42	 ADV	 43	 来	 v
43	 COO	 5	 设置	 v
44	 LAD	 45	 和	 c
45	 COO	 43	 读	 v
46	 WP	 47	 、	 wp
47	 COO	 43	 写	 v
48	 ATT	 49	 串	 q
49	 VOB	 47	 行口	 n
50	 WP	 5	 。	 wp

而Windows95将串行口和其它通信设备如Modern、传真机等统一视作文件，对串行口的打开、关闭、读写等操作与操作普通文件的API函数相同，如CreateFile()、CloseHandel()、ReadFile()、WriteFile()，正是由于这些函数的“多态性”， 同时还由于需要结合Windows95的线程编程、事件驱动等新技术，因而使得Windows95下的串行口通信编程比较复杂。
0	 ADV	 3	 而	 c
1	 SBV	 3	 Windows95	 ws
2	 ADV	 3	 将	 d
3	 HED	 -1	 串	 v
4	 VOB	 3	 行口	 n
5	 LAD	 8	 和	 c
6	 ATT	 8	 其它	 r
7	 ATT	 8	 通信	 v
8	 COO	 4	 设备	 n
9	 CMP	 8	 如	 v
10	 POB	 9	 Modern	 ws
11	 WP	 12	 、	 wp
12	 VOB	 8	 传真机	 n
13	 RAD	 8	 等	 u
14	 ADV	 15	 统一	 a
15	 ATT	 36	 视	 v
16	 COO	 15	 作	 v
17	 VOB	 16	 文件	 n
18	 WP	 15	 ，	 wp
19	 ADV	 22	 对	 p
20	 POB	 19	 串行口	 n
21	 RAD	 19	 的	 u
22	 COO	 15	 打开	 v
23	 WP	 24	 、	 wp
24	 COO	 22	 关闭	 v
25	 WP	 26	 、	 wp
