【 文献号 】1-3101【原文出处】中国文化报【原刊地名】京【原刊期号】19960526【原刊页号】⑴【分 类 号】J1【分 类 名】文艺理论【 作  者 】刘忠德【复印期号】199607【 标  题 】在１９９６年全国艺术创作会议上的讲话【 正  文 】    （1996年4月16日于北京）    同志们：    1996年全国艺术创作会议今天开幕了。
0	 ADV	 8	 ﻿	 v
1	 ATT	 2	 【	 n
2	 ATT	 8	 文献号	 n
3	 WP	 8	 】	 wp
4	 ATT	 5	 1-3101	 m
5	 ATT	 8	 【	 q
6	 SBV	 7	 原文	 n
7	 ATT	 8	 出	 v
8	 ADV	 21	 处	 n
9	 WP	 20	 】	 wp
10	 ATT	 11	 中国	 ns
11	 ATT	 12	 文化	 n
12	 SBV	 13	 报	 n
13	 ATT	 20	 【	 v
14	 ATT	 15	 原刊	 n
15	 VOB	 13	 地名	 n
16	 COO	 13	 】	 v
17	 VOB	 16	 京	 j
18	 COO	 17	 【	 j
19	 ATT	 20	 原刊	 n
20	 SBV	 21	 期号	 n
21	 HED	 -1	 】	 v
22	 ATT	 23	 19960526	 m
23	 ATT	 26	 【	 q
24	 ATT	 25	 原刊	 n
25	 ATT	 26	 页号	 n
26	 VOB	 21	 】	 n
27	 COO	 21	 ⑴	 v
28	 VOB	 27	 【	 n
29	 COO	 27	 分类号	 v
30	 VOB	 29	 】	 n
31	 ATT	 32	 J1	 ws
32	 SBV	 33	 【	 n
33	 COO	 27	 分类	 v
34	 VOB	 33	 名	 n
35	 COO	 27	 】	 v
36	 ATT	 37	 文艺	 n
37	 ATT	 40	 理论	 n
38	 ATT	 39	 【	 v
39	 COO	 37	 作者	 n
40	 ATT	 42	 】	 nh
41	 COO	 40	 刘忠德	 nh
42	 SBV	 43	 【	 n
43	 COO	 27	 复印	 v
44	 VOB	 43	 期号	 n
45	 COO	 43	 】	 v
46	 ATT	 47	 199607	 m
47	 ATT	 48	 【	 q
48	 VOB	 45	 标题	 n
49	 COO	 43	 】	 v
50	 CMP	 49	 在	 p
51	 ATT	 55	 １９９６年	 nt
52	 ATT	 53	 全国	 n
53	 SBV	 54	 艺术	 n
54	 ATT	 55	 创作	 v
55	 ATT	 56	 会议	 n
56	 POB	 50	 上	 nd
57	 RAD	 43	 的	 u
58	 ATT	 59	 讲话	 n
59	 ATT	 60	 【	 n
60	 ATT	 61	 正文	 n
61	 SBV	 78	 】	 n
62	 WP	 64	 （	 wp
63	 ATT	 64	 1996年	 nt
64	 ATT	 65	 4月	 nt
65	 ADV	 78	 16日	 nt
66	 ADV	 75	 于	 p
67	 ATT	 69	 北京	 ns
68	 WP	 67	 ）	 wp
69	 ATT	 74	 同志	 n
70	 RAD	 69	 们	 k
71	 WP	 69	 ：	 wp
72	 ATT	 74	 1996年	 nt
73	 ATT	 74	 全国	 n
74	 POB	 66	 艺术	 n
75	 ATT	 76	 创作	 v
76	 SBV	 78	 会议	 n
77	 ADV	 78	 今天	 nt
78	 COO	 27	 开幕	 v
79	 RAD	 78	 了	 u
80	 WP	 27	 。	 wp

首先，我代表文化部向全体与会同志，并通过你们向全国的广大艺术工作者致以诚挚的问候！    今年的全国艺术创作会议是在新形势下召开的。
0	 ADV	 3	 首先	 c
1	 WP	 0	 ，	 wp
2	 SBV	 3	 我	 r
3	 HED	 -1	 代表	 v
4	 VOB	 3	 文化部	 ni
5	 ADV	 7	 向	 p
6	 POB	 5	 全体	 n
7	 ATT	 8	 与会	 v
8	 COO	 4	 同志	 n
9	 WP	 3	 ，	 wp
10	 ADV	 19	 并	 c
11	 ADV	 19	 通过	 p
12	 POB	 11	 你们	 r
13	 ADV	 19	 向	 p
14	 ATT	 18	 全国	 n
15	 RAD	 14	 的	 u
16	 ATT	 18	 广大	 b
17	 ATT	 18	 艺术	 n
18	 POB	 13	 工作者	 n
19	 COO	 3	 致以	 v
20	 ADV	 22	 诚挚	 a
21	 RAD	 20	 的	 u
22	 VOB	 19	 问候	 v
23	 WP	 3	 ！	 wp

