产业与环境INDUSTRY AND ENVIRONMENT1999年　第21卷　第1-2期　Vol。
0	 ATT	 1	 ﻿	 n
1	 SBV	 10	 产业	 n
2	 ADV	 10	 与	 p
3	 ATT	 9	 环境	 n
4	 VOB	 3	 INDUSTRY	 ws
5	 SBV	 7	 AND	 ws
6	 ATT	 7	 ENVIRONMENT1999	 m
7	 ATT	 9	 年	 q
8	 ATT	 9	 第21	 m
9	 POB	 2	 卷	 q
10	 HED	 -1	 第	 v
11	 ATT	 12	 1-2	 m
12	 ATT	 13	 期	 q
13	 VOB	 10	 	 n
14	 VOB	 13	 Vol	 ws
15	 WP	 10	 。	 wp

21 No。
0	 ATT	 1	 21	 m
1	 HED	 -1	 No	 q
2	 WP	 1	 。	 wp

1-2 1999排放削减活动和清洁发展机制：关键的未解决问题Anilla CherianWarren Weaver Fellow,Global Environment Division,The Rockefeller Foundation,420 Fifth Avenue,New York,NY 10018,USA摘要　《京都议定书》的清洁发展机制(CDM)使得工业化国家和过渡经济国家能使用经认证的，因CDM活动而自然形成的排放量削减来履行其限制和减少排放量的承诺的某一部分。
0	 ATT	 1	 1-2	 m
1	 ADV	 2	 1999	 m
2	 SBV	 52	 排放	 v
3	 ATT	 4	 削减	 v
4	 VOB	 2	 活动	 v
5	 LAD	 7	 和	 c
6	 ADV	 7	 清洁	 a
7	 ATT	 48	 发展	 v
8	 VOB	 7	 机制	 n
9	 WP	 7	 ：	 wp
10	 SBV	 13	 关键	 a
11	 RAD	 10	 的	 u
12	 ADV	 13	 未	 d
13	 COO	 7	 解决	 v
14	 VOB	 13	 问题	 n
15	 ATT	 48	 Anilla	 ws
16	 ATT	 48	 CherianWarren	 ws
17	 ATT	 48	 Weaver	 ws
18	 ATT	 48	 Fellow	 ws
19	 WP	 18	 ,	 wp
20	 ATT	 48	 Global	 ws
21	 ATT	 48	 Environment	 ws
22	 ATT	 48	 Division	 ws
23	 WP	 22	 ,	 wp
24	 ATT	 48	 The	 ws
25	 ATT	 48	 Rockefeller	 ws
26	 ATT	 48	 Foundation	 ws
27	 WP	 26	 ,	 wp
28	 ATT	 29	 420	 m
29	 ATT	 48	 Fifth	 q
30	 ATT	 48	 Avenue	 ws
31	 WP	 30	 ,	 wp
