【 文献号 】1-387【原文出处】中国软科学【原刊地名】京【原刊期号】199612【原刊页号】70-74【分 类 号】F102【分 类 名】劳动经济与人力资源管理【 作  者 】农业部农村经济研究中心课题组【复印期号】199702【 标  题 】农村劳动力外出就业对农民、农业及输出地的影响与对策【 正  文 】    引言    ９０年代以来，农村劳动力大规模跨城乡流动，成为国内外普遍关注的现象之一。
0	 ATT	 6	 ﻿	 v
1	 ATT	 2	 【	 n
2	 VOB	 0	 文献号	 n
3	 WP	 0	 】	 wp
4	 ATT	 5	 1-387	 m
5	 ATT	 6	 【	 q
6	 SBV	 7	 原文	 n
7	 HED	 -1	 出	 v
8	 VOB	 7	 处	 n
9	 COO	 7	 】	 v
10	 ATT	 11	 中国	 ns
11	 SBV	 12	 软科学	 n
12	 COO	 7	 【	 v
13	 ATT	 14	 原刊	 n
14	 VOB	 12	 地名	 n
15	 COO	 12	 】	 v
16	 ATT	 18	 京	 j
17	 COO	 16	 【	 j
18	 ATT	 19	 原刊	 n
19	 VOB	 15	 期号	 n
20	 COO	 12	 】	 v
21	 ATT	 22	 199612	 m
22	 ATT	 24	 【	 q
23	 ATT	 24	 原刊	 n
24	 VOB	 20	 页号	 n
25	 COO	 20	 】	 v
26	 ATT	 27	 70-74	 m
27	 VOB	 25	 【	 q
28	 COO	 20	 分类号	 v
29	 VOB	 28	 】	 n
30	 ATT	 31	 F102	 ws
31	 SBV	 32	 【	 n
32	 COO	 28	 分类	 v
33	 VOB	 32	 名	 n
34	 COO	 28	 】	 v
35	 ATT	 36	 劳动	 v
36	 ATT	 39	 经济	 n
37	 LAD	 38	 与	 c
38	 COO	 36	 人力	 n
39	 FOB	 40	 资源	 n
40	 COO	 28	 管理	 v
41	 ATT	 42	 【	 n
42	 SBV	 43	 作者	 n
43	 COO	 28	 】	 v
44	 ATT	 45	 农业部	 ni
45	 ATT	 46	 农村	 n
46	 ATT	 47	 经济	 n
47	 VOB	 43	 研究	 v
48	 ATT	 49	 中心	 n
49	 ATT	 50	 课题组	 n
50	 VOB	 47	 【	 n
51	 COO	 47	 复印	 v
52	 VOB	 51	 期号	 n
53	 COO	 47	 】	 v
54	 ATT	 55	 199702	 m
55	 ATT	 56	 【	 q
56	 SBV	 57	 标题	 n
57	 COO	 47	 】	 v
58	 ATT	 59	 农村	 n
59	 VOB	 57	 劳动力	 n
60	 COO	 47	 外出	 v
61	 COO	 60	 就业	 v
62	 ADV	 69	 对	 p
63	 POB	 62	 农民	 n
64	 WP	 65	 、	 wp
65	 COO	 63	 农业	 n
66	 LAD	 67	 及	 c
67	 COO	 63	 输出地	 n
68	 RAD	 62	 的	 u
69	 ADV	 78	 影响	 v
70	 ADV	 75	 与	 c
71	 ATT	 72	 对策	 n
72	 ATT	 73	 【	 n
73	 ATT	 74	 正文	 n
74	 POB	 70	 】	 n
75	 COO	 69	 引言	 v
76	 ATT	 77	 ９０	 m
77	 VOB	 75	 年代	 n
78	 POB	 61	 以来	 nd
79	 WP	 47	 ，	 wp
80	 ATT	 81	 农村	 n
81	 SBV	 85	 劳动力	 n
82	 ADV	 85	 大规模	 d
83	 ADV	 85	 跨	 v
84	 VOB	 83	 城乡	 n
85	 COO	 47	 流动	 v
86	 WP	 28	 ，	 wp
87	 ATT	 93	 成为	 v
88	 ATT	 92	 国内外	 nl
89	 ADV	 90	 普遍	 a
90	 ATT	 92	 关注	 v
91	 RAD	 90	 的	 u
92	 VOB	 87	 现象	 n
93	 COO	 28	 之一	 r
94	 WP	 12	 。	 wp

从８０年代初，农村外出打工者只有几百万人，至８０年代末达到２０００多万人；到１９９４年已骤增到６０００多万人，约占农村劳动力总数的１／７。
0	 ADV	 9	 从	 p
1	 ATT	 2	 ８０	 m
2	 ATT	 3	 年代	 n
3	 POB	 0	 初	 nd
4	 WP	 0	 ，	 wp
5	 ATT	 7	 农村	 n
6	 ATT	 7	 外出	 v
7	 SBV	 9	 打工者	 n
8	 ADV	 9	 只	 d
9	 HED	 -1	 有	 v
10	 ATT	 11	 几百万	 m
11	 VOB	 9	 人	 n
12	 WP	 9	 ，	 wp
13	 ADV	 17	 至	 p
14	 ATT	 15	 ８０	 m
15	 ATT	 16	 年代	 n
16	 POB	 13	 末	 nd
17	 COO	 9	 达到	 v
18	 ATT	 20	 ２０００	 m
19	 RAD	 18	 多	 m
20	 ATT	 21	 万	 m
21	 VOB	 17	 人	 n
22	 WP	 9	 ；	 wp

从８０年代初，农村外出打工者只有几百万人，至８０年代末达到２０００多万人；到１９９４年已骤增到６０００多万人，约占农村劳动力总数的１／７。
0	 ADV	 3	 到	 p
1	 POB	 0	 １９９４年	 nt
2	 ADV	 3	 已	 d
3	 HED	 -1	 骤增	 v
4	 CMP	 3	 到	 v
5	 ATT	 7	 ６０００	 m
6	 RAD	 5	 多	 m
