【 文献号 】2-1295【原文出处】《中国财政》【原刊地名】京【原刊期号】200002【分 类 号】F61【分 类 名】财政与税务【复印期号】200005【 标  题 】财政问题——当前经济工作焦点【 作  者 】张昭立【 正  文 】    当前。
0	 ADV	 11	 ﻿	 v
1	 ATT	 2	 【	 n
2	 VOB	 0	 文献号	 n
3	 WP	 0	 】	 wp
4	 ATT	 5	 2-1295	 m
5	 ATT	 8	 【	 q
6	 ATT	 7	 原文	 n
7	 ATT	 8	 出处	 n
8	 ATT	 11	 】	 n
9	 WP	 11	 《	 wp
10	 ATT	 11	 中国	 ns
11	 SBV	 13	 财政	 n
12	 WP	 11	 》	 wp
13	 HED	 -1	 【	 v
14	 ATT	 15	 原刊	 n
15	 SBV	 16	 地名	 n
16	 VOB	 13	 】	 v
17	 ATT	 19	 京	 j
18	 COO	 17	 【	 j
19	 ATT	 20	 原刊	 n
20	 VOB	 16	 期号	 n
21	 COO	 13	 】	 v
22	 ATT	 23	 200002	 m
23	 ATT	 27	 【	 q
24	 ATT	 27	 分类号	 v
25	 VOB	 24	 】	 n
26	 ATT	 27	 F61	 ws
27	 SBV	 28	 【	 n
28	 VOB	 21	 分类	 v
29	 ATT	 34	 名	 q
30	 ADV	 34	 】	 v
31	 ATT	 34	 财政	 n
32	 LAD	 33	 与	 c
33	 COO	 31	 税务	 n
34	 ATT	 36	 【	 n
35	 ATT	 36	 复印期	 n
36	 ATT	 37	 号	 n
37	 ATT	 40	 】	 nh
38	 ATT	 39	 200005	 m
39	 ATT	 40	 【	 q
40	 SBV	 41	 标题	 n
41	 VOB	 28	 】	 v
42	 ATT	 43	 财政	 n
43	 VOB	 41	 问题	 n
44	 WP	 49	 ——	 wp
45	 ADV	 49	 当前	 nt
46	 ATT	 47	 经济	 n
47	 ATT	 48	 工作	 v
48	 SBV	 49	 焦点	 n
49	 ATT	 50	 【	 v
50	 ATT	 51	 作者	 n
51	 SBV	 55	 】	 nh
52	 COO	 51	 张昭立	 nh
53	 WP	 51	 【	 wp
54	 SBV	 55	 正文	 n
55	 COO	 41	 】	 v
56	 VOB	 55	 当前	 nt
57	 WP	 21	 。	 wp

我国国民经济发展的突出问题是内外需求不足、经济增长缓慢和社会支出需求不足、经济增长缓慢和社会支出需求膨胀。
0	 ATT	 1	 我国	 n
1	 SBV	 2	 国民经济	 n
2	 ATT	 5	 发展	 v
3	 RAD	 2	 的	 u
4	 ATT	 5	 突出	 a
5	 SBV	 6	 问题	 n
6	 HED	 -1	 是	 v
7	 ATT	 8	 内外	 nd
8	 SBV	 9	 需求	 n
9	 VOB	 6	 不足	 a
10	 WP	 13	 、	 wp
11	 SBV	 12	 经济	 n
12	 ATT	 13	 增长	 v
13	 COO	 9	 缓慢	 a
14	 LAD	 18	 和	 c
15	 ATT	 16	 社会	 n
16	 ATT	 17	 支出	 n
17	 SBV	 18	 需求	 n
18	 COO	 9	 不足	 a
19	 WP	 21	 、	 wp
20	 SBV	 21	 经济	 n
21	 COO	 9	 增长	 v
22	 VOB	 21	 缓慢	 a
23	 LAD	 26	 和	 c
24	 ATT	 25	 社会	 n
25	 ATT	 26	 支出	 n
26	 SBV	 27	 需求	 n
27	 COO	 22	 膨胀	 v
28	 WP	 6	 。	 wp

这些都程度不同地反映和涉及到财政问题。
0	 SBV	 5	 这些	 r
1	 ADV	 5	 都	 d
2	 SBV	 3	 程度	 n
3	 ADV	 5	 不同	 a
4	 RAD	 3	 地	 u
5	 HED	 -1	 反映	 v
6	 LAD	 7	 和	 c
7	 COO	 5	 涉及	 v
8	 CMP	 7	 到	 v
9	 ATT	 10	 财政	 n
10	 VOB	 5	 问题	 n
11	 WP	 5	 。	 wp

各项事业发展和社会保障项目期待着财政的支持。
0	 ATT	 1	 各项	 r
1	 SBV	 2	 事业	 n
2	 HED	 -1	 发展	 v
3	 LAD	 5	 和	 c
4	 SBV	 5	 社会	 n
5	 ATT	 6	 保障	 v
6	 SBV	 7	 项目	 n
7	 COO	 2	 期待	 v
8	 RAD	 7	 着	 u
9	 ATT	 11	 财政	 n
10	 RAD	 9	 的	 u
11	 VOB	 7	 支持	 v
12	 WP	 2	 。	 wp

不少经济发展矛盾有赖于财政调控。
0	 ATT	 1	 不少	 m
1	 SBV	 2	 经济	 n
2	 SBV	 4	 发展	 v
3	 CMP	 2	 矛盾	 a
4	 HED	 -1	 有赖于	 v
5	 SBV	 6	 财政	 n
6	 VOB	 4	 调控	 v
7	 WP	 4	 。	 wp

因此。
0	 HED	 -1	 因此	 c
1	 WP	 0	 。	 wp

正确认识和妥善解决财政问题。
0	 ADV	 1	 正确	 a
1	 HED	 -1	 认识	 v
2	 LAD	 4	 和	 c
3	 ADV	 4	 妥善	 a
4	 COO	 1	 解决	 v
5	 ATT	 6	 财政	 n
6	 VOB	 1	 问题	 n
