             。
0	 HED	 -1	 。	 wp

这主要是受其传统的社会政治关系的影响而保留下来的，当然，由于其过去一段时间经济上的成功，人们也刻意强化了这些传统的管理模式。
0	 SBV	 2	 这	 r
1	 ADV	 2	 主要	 d
2	 HED	 -1	 是	 v
3	 VOB	 2	 受	 v
4	 ATT	 9	 其	 r
5	 ATT	 9	 传统	 n
6	 RAD	 5	 的	 u
7	 ATT	 8	 社会	 n
8	 ATT	 9	 政治	 n
9	 ATT	 11	 关系	 n
10	 RAD	 9	 的	 u
11	 VOB	 3	 影响	 v
12	 ADV	 13	 而	 c
13	 COO	 11	 保留	 v
14	 CMP	 13	 下来	 v
15	 RAD	 11	 的	 u
16	 WP	 2	 ，	 wp
17	 ADV	 33	 当然	 d
18	 WP	 17	 ，	 wp
19	 ADV	 33	 由于	 c
20	 SBV	 28	 其	 r
21	 ATT	 24	 过去	 nt
22	 ATT	 23	 一	 m
23	 ATT	 24	 段	 q
24	 ATT	 25	 时间	 n
25	 ATT	 26	 经济	 n
26	 ATT	 28	 上	 nd
27	 RAD	 26	 的	 u
28	 POB	 19	 成功	 a
29	 WP	 19	 ，	 wp
30	 SBV	 33	 人们	 n
31	 ADV	 33	 也	 d
32	 ADV	 33	 刻意	 d
33	 COO	 2	 强化	 v
34	 RAD	 33	 了	 u
35	 ATT	 39	 这些	 r
36	 ATT	 39	 传统	 n
37	 RAD	 36	 的	 u
38	 ATT	 39	 管理	 v
39	 VOB	 33	 模式	 n
40	 WP	 2	 。	 wp

            社会政治关系    在当今东亚的社会政治关系中还保留着不少传统的因素和制度，其中最能反映其特点的是庇护关系。
0	 ATT	 2	 社会	 n
1	 ATT	 2	 政治	 n
2	 SBV	 12	 关系	 n
3	 ADV	 12	 在	 p
4	 ATT	 9	 当今	 nt
5	 ATT	 9	 东亚	 ns
6	 RAD	 5	 的	 u
7	 ATT	 8	 社会	 n
8	 ATT	 9	 政治	 n
9	 ATT	 10	 关系	 n
10	 POB	 3	 中	 nd
11	 ADV	 12	 还	 d
12	 HED	 -1	 保留	 v
13	 RAD	 12	 着	 u
14	 ATT	 17	 不少	 m
15	 ATT	 17	 传统	 n
16	 RAD	 15	 的	 u
17	 VOB	 12	 因素	 n
18	 LAD	 19	 和	 c
19	 COO	 17	 制度	 n
20	 WP	 12	 ，	 wp
21	 SBV	 24	 其中	 r
22	 ADV	 23	 最	 d
23	 ADV	 24	 能	 v
24	 SBV	 28	 反映	 v
25	 ATT	 26	 其	 r
26	 VOB	 24	 特点	 n
27	 RAD	 24	 的	 u
28	 COO	 12	 是	 v
29	 VOB	 28	 庇护	 v
30	 VOB	 29	 关系	 n
31	 WP	 12	 。	 wp

这种庇护关系决定了人的实力、地位、权利在社会中的角色，有实力的人士（庇护者们）控制了稀有资源，尽可能地搜罗追随者。
0	 ATT	 21	 这种	 r
1	 ATT	 21	 庇护	 v
2	 SBV	 3	 关系	 n
3	 ATT	 16	 决定	 v
4	 RAD	 3	 了	 u
5	 ATT	 7	 人	 n
6	 RAD	 5	 的	 u
7	 VOB	 3	 实力	 n
8	 WP	 9	 、	 wp
9	 COO	 7	 地位	 n
10	 WP	 11	 、	 wp
11	 COO	 7	 权利	 n
12	 ATT	 16	 在	 p
13	 ATT	 14	 社会	 n
14	 POB	 12	 中	 nd
15	 RAD	 12	 的	 u
16	 VOB	 1	 角色	 n
17	 WP	 1	 ，	 wp
18	 COO	 1	 有	 v
19	 VOB	 18	 实力	 n
20	 RAD	 1	 的	 u
21	 SBV	 26	 人士	 n
22	 WP	 23	 （	 wp
23	 COO	 21	 庇护者	 n
24	 RAD	 23	 们	 k
25	 WP	 21	 ）	 wp
26	 HED	 -1	 控制	 v
27	 RAD	 26	 了	 u
28	 ATT	 29	 稀有	 a
29	 VOB	 26	 资源	 n
30	 WP	 26	 ，	 wp
31	 ATT	 33	 尽可能	 d
32	 RAD	 31	 地	 u
33	 COO	 26	 搜罗追随者	 n
34	 WP	 26	 。	 wp

这是一种带有浓重的等级色彩的主从交易关系。
0	 SBV	 1	 这	 r
1	 HED	 -1	 是	 v
2	 ATT	 3	 一	 m
3	 ATT	 10	 种	 q
4	 ATT	 10	 带有	 v
5	 ATT	 8	 浓重	 a
6	 RAD	 5	 的	 u
7	 ATT	 8	 等级	 n
8	 VOB	 4	 色彩	 n
9	 RAD	 4	 的	 u
10	 SBV	 12	 主	 n
11	 ADV	 12	 从	 p
12	 VOB	 1	 交易	 v
13	 VOB	 12	 关系	 n
14	 WP	 1	 。	 wp

交易是在个人之间进行的，非制度化的，而且是互惠的。
0	 SBV	 1	 交易	 v
1	 HED	 -1	 是	 v
2	 ADV	 5	 在	 p
3	 ATT	 4	 个人	 n
4	 POB	 2	 之间	 nd
5	 VOB	 1	 进行	 v
6	 RAD	 5	 的	 u
7	 WP	 1	 ，	 wp
8	 ADV	 9	 非	 d
9	 COO	 1	 制度化	 v
10	 RAD	 9	 的	 u
11	 WP	 1	 ，	 wp
12	 ADV	 13	 而且	 c
13	 COO	 1	 是	 v
14	 VOB	 13	 互惠	 v
15	 RAD	 14	 的	 u
16	 WP	 1	 。	 wp

从受庇护人的角度来看，庇护人制的形成完全是出于生存考虑，对地主的忠诚意味着在饥荒之时可以得到一包稻米。
