【 日  期 】19960106【 版  号 】6【 标  题 】易学哲学与中西文化——访北京大学哲学系朱伯教授【 作  者 】胡欣【 正  文 】    （本报记者胡欣）    记者：朱先生，最近读了您的四卷本的《易学哲学史》，很有收获。
0	 ADV	 11	 ﻿	 v
1	 WP	 3	 【	 wp
2	 SBV	 3	 日期	 n
3	 ATT	 7	 】	 v
4	 ATT	 5	 19960106	 m
5	 ATT	 6	 【	 q
6	 VOB	 3	 版号	 n
7	 ATT	 10	 】	 n
8	 ATT	 9	 6	 m
9	 ATT	 10	 【	 q
10	 SBV	 11	 标题	 n
11	 HED	 -1	 】	 v
12	 ATT	 13	 易学	 a
13	 VOB	 11	 哲学	 n
14	 LAD	 16	 与	 c
15	 ATT	 16	 中西	 j
16	 ATT	 23	 文化	 n
17	 WP	 22	 ——	 wp
18	 ATT	 20	 访	 v
19	 VOB	 18	 北京大学	 ni
20	 ATT	 21	 哲学系	 n
21	 ATT	 22	 朱伯	 nh
22	 COO	 16	 教授	 n
23	 ATT	 24	 【	 nh
24	 ATT	 25	 作者	 n
25	 COO	 13	 】	 nh
26	 COO	 13	 胡欣	 nh
27	 WP	 29	 【	 wp
28	 ATT	 29	 正文	 n
29	 COO	 13	 】	 nh
30	 WP	 33	 （	 wp
31	 ATT	 32	 本报	 r
32	 ATT	 33	 记者	 n
33	 COO	 29	 胡欣	 nh
34	 WP	 29	 ）	 wp
35	 ATT	 37	 记者	 n
36	 WP	 35	 ：	 wp
37	 ATT	 38	 朱	 nh
38	 COO	 29	 先生	 n
39	 WP	 11	 ，	 wp
40	 ADV	 41	 最近	 nt
41	 COO	 11	 读	 v
42	 RAD	 41	 了	 u
43	 ATT	 47	 您	 r
44	 RAD	 43	 的	 u
45	 ATT	 46	 四	 m
46	 ATT	 47	 卷	 q
47	 ATT	 51	 本	 n
48	 RAD	 47	 的	 u
49	 WP	 51	 《	 wp
50	 ATT	 51	 易学	 a
51	 VOB	 41	 哲学史	 n
52	 WP	 51	 》	 wp
53	 WP	 11	 ，	 wp
54	 ADV	 55	 很	 d
55	 COO	 11	 有	 v
56	 VOB	 55	 收获	 v
