【 文献号 】1-60【原文出处】毛泽东思想研究【原刊地名】成都【原刊期号】199601【原刊页号】43-45,50【分 类 号】K1【分 类 名】历史学【 作  者 】王子今【复印期号】199606【 标  题 】毛泽东的历史观对中国史学研究的影响【 正  文 】    历史学对于马克思主义理论体系的构成有十分重要的意义。
0	 ATT	 38	 ﻿	 v
1	 ATT	 2	 【	 n
2	 VOB	 0	 文献号	 n
3	 WP	 0	 】	 wp
4	 ATT	 5	 1-60	 m
5	 ATT	 7	 【	 q
6	 ATT	 7	 原文	 n
7	 SBV	 8	 出处	 n
8	 ATT	 38	 】	 v
9	 VOB	 8	 毛泽东思想	 n
10	 COO	 8	 研究	 v
11	 COO	 10	 【	 v
12	 ATT	 13	 原刊	 n
13	 VOB	 10	 地名	 n
14	 COO	 8	 】	 v
15	 ATT	 16	 成都	 ns
16	 ATT	 17	 【	 nz
17	 ATT	 18	 原刊	 n
18	 VOB	 14	 期号	 n
19	 COO	 14	 】	 v
20	 ATT	 21	 199601	 m
21	 ATT	 23	 【	 q
22	 ATT	 23	 原刊	 n
23	 VOB	 19	 页号	 n
24	 COO	 19	 】	 v
25	 ATT	 29	 43-45	 m
26	 WP	 27	 ,	 wp
27	 COO	 25	 50	 m
28	 COO	 25	 【	 m
29	 ATT	 38	 分类号	 q
30	 ATT	 32	 】	 n
31	 VOB	 30	 K1	 ws
32	 SBV	 33	 【	 n
33	 ATT	 38	 分类	 v
34	 VOB	 33	 名	 n
35	 COO	 33	 】	 v
36	 ATT	 37	 历史学	 n
37	 ATT	 38	 【	 n
38	 SBV	 58	 作者	 n
39	 WP	 43	 】	 wp
40	 SBV	 43	 王子	 nh
41	 ADV	 43	 今	 nt
42	 SBV	 43	 【	 n
43	 COO	 38	 复印	 v
44	 VOB	 43	 期号	 n
45	 COO	 43	 】	 v
46	 ATT	 47	 199606	 m
47	 ATT	 48	 【	 q
48	 VOB	 45	 标题	 n
49	 WP	 38	 】	 wp
50	 ATT	 52	 毛泽东	 nh
51	 RAD	 50	 的	 u
52	 SBV	 56	 历史观	 n
53	 ADV	 56	 对	 p
54	 ATT	 55	 中国	 ns
55	 POB	 53	 史学	 n
56	 SBV	 58	 研究	 v
57	 RAD	 56	 的	 u
58	 HED	 -1	 影响	 v
59	 WP	 58	 【	 wp
60	 ATT	 61	 正文	 n
61	 ATT	 62	 】	 n
62	 SBV	 69	 历史学	 n
63	 ADV	 69	 对于	 p
64	 ATT	 65	 马克思主义	 n
65	 ATT	 66	 理论	 n
66	 ATT	 68	 体系	 n
67	 RAD	 66	 的	 u
68	 POB	 63	 构成	 n
69	 VOB	 58	 有	 v
70	 ADV	 71	 十分	 m
71	 ATT	 73	 重要	 a
72	 RAD	 71	 的	 u
73	 VOB	 69	 意义	 n
74	 WP	 58	 。	 wp

马克思和恩格斯曾经说：“我们仅仅知道一门唯一的科学，即历史科学。
0	 SBV	 4	 马克思	 nh
1	 LAD	 2	 和	 c
2	 COO	 0	 恩格斯	 nh
3	 ADV	 4	 曾经	 d
4	 HED	 -1	 说	 v
5	 WP	 4	 ：	 wp
6	 WP	 9	 “	 wp
7	 SBV	 9	 我们	 r
8	 ADV	 9	 仅仅	 d
9	 VOB	 4	 知道	 v
10	 ATT	 11	 一	 m
11	 ATT	 14	 门	 q
12	 ATT	 14	 唯一	 b
13	 RAD	 12	 的	 u
14	 VOB	 9	 科学	 n
15	 WP	 14	 ，	 wp
16	 CMP	 14	 即	 v
17	 ATT	 18	 历史	 n
18	 VOB	 16	 科学	 n
19	 WP	 4	 。	 wp

”〔1〕恩格斯又曾经指出：“历史就是我们的一切， 我们比任何一个哲学学派，甚至比黑格尔，都更重视历史……”〔2 〕恩格斯在评价马克思充实人类文化宝库的伟大历史贡献时还说道：“在马克思使自己的名字永垂于科学史册的许多重要发现中”，“第一点就是他在整个世界观上实现了变革。
0	 WP	 2	 ”	 wp
1	 WP	 2	 〔	 wp
2	 ADV	 7	 1	 m
3	 WP	 7	 〕	 wp
4	 SBV	 7	 恩格斯	 nh
5	 ADV	 7	 又	 d
6	 ADV	 7	 曾经	 d
7	 HED	 -1	 指出	 v
8	 WP	 7	 ：	 wp
9	 WP	 11	 “	 wp
10	 SBV	 11	 历史	 n
11	 VOB	 7	 就是	 v
12	 ATT	 14	 我们	 r
13	 RAD	 12	 的	 u
14	 VOB	 11	 一切	 r
15	 WP	 11	 ，	 wp
16	 SBV	 29	 我们	 r
17	 ADV	 29	 比	 p
18	 ATT	 19	 任何	 r
19	 ATT	 21	 一个	 m
20	 ATT	 21	 哲学	 n
21	 POB	 17	 学派	 n
22	 WP	 17	 ，	 wp
23	 ADV	 24	 甚至	 d
24	 COO	 17	 比	 p
25	 POB	 24	 黑格尔	 nh
26	 WP	 17	 ，	 wp
27	 ADV	 29	 都	 d
