据介绍。
0	 HED	 -1	 据	 p
1	 POB	 0	 介绍	 v
2	 WP	 0	 。	 wp

在昨天德国汉诺威通信和信息技术博览会上。
0	 HED	 -1	 在	 p
1	 ADV	 4	 昨天	 nt
2	 ATT	 3	 德国	 ns
3	 SBV	 4	 汉诺威	 ns
4	 ATT	 9	 通信	 v
5	 LAD	 8	 和	 c
6	 ATT	 7	 信息	 n
7	 ATT	 8	 技术	 n
8	 COO	 4	 博览会	 n
9	 POB	 0	 上	 nd
10	 WP	 0	 。	 wp

阿里巴巴集团董事局主席马云展示了蚂蚁金服的最新支付技术“SmiletoPay”扫脸支付。
0	 ATT	 1	 阿里巴巴	 nz
1	 ATT	 2	 集团	 n
2	 ATT	 3	 董事局	 n
3	 ATT	 4	 主席	 n
4	 SBV	 5	 马云	 nh
5	 HED	 -1	 展示	 v
6	 RAD	 5	 了	 u
7	 ATT	 11	 蚂蚁金服	 n
8	 RAD	 7	 的	 u
9	 ADV	 10	 最新	 a
10	 ATT	 11	 支付	 v
11	 VOB	 5	 技术	 n
12	 WP	 13	 “	 wp
13	 SBV	 15	 SmiletoPay	 ws
14	 WP	 13	 ”	 wp
15	 COO	 5	 扫脸	 v
16	 VOB	 15	 支付	 v
17	 WP	 5	 。	 wp

马云用手机登录淘宝。
0	 SBV	 3	 马云	 nh
1	 ADV	 3	 用	 p
2	 POB	 1	 手机	 n
3	 HED	 -1	 登录	 v
4	 VOB	 3	 淘宝	 n
5	 WP	 3	 。	 wp

选择商品。
0	 HED	 -1	 选择	 v
1	 VOB	 0	 商品	 n
2	 WP	 0	 。	 wp

然后进入支付系统。
0	 ADV	 1	 然后	 c
1	 HED	 -1	 进入	 v
2	 ATT	 3	 支付	 v
3	 VOB	 1	 系统	 n
4	 WP	 1	 。	 wp

确认支付后出现扫脸的页面,然后扫脸后台认证,接着显示支付成功。
0	 ATT	 2	 确认	 v
1	 VOB	 0	 支付	 v
2	 ADV	 3	 后	 nd
3	 HED	 -1	 出现	 v
4	 ATT	 6	 扫脸	 v
5	 RAD	 4	 的	 u
6	 VOB	 3	 页面	 n
7	 WP	 9	 ,	 wp
8	 ADV	 9	 然后	 c
9	 COO	 3	 扫脸	 v
10	 SBV	 11	 后台	 n
11	 VOB	 9	 认证	 v
12	 WP	 9	 ,	 wp
13	 ADV	 14	 接着	 c
14	 COO	 9	 显示	 v
15	 VOB	 14	 支付	 v
16	 CMP	 15	 成功	 a
17	 WP	 3	 。	 wp

据了解。
0	 HED	 -1	 据	 p
1	 POB	 0	 了解	 v
2	 WP	 0	 。	 wp

马云展示的是蚂蚁金服的最新支付技术SmiletoPay扫脸技术。
0	 SBV	 1	 马云	 nh
1	 SBV	 3	 展示	 v
2	 RAD	 1	 的	 u
3	 HED	 -1	 是	 v
4	 ATT	 6	 蚂蚁金服	 n
5	 RAD	 4	 的	 u
6	 ADV	 7	 最新	 a
7	 VOB	 3	 支付	 v
8	 VOB	 7	 技术	 n
9	 SBV	 10	 SmiletoPay	 ws
10	 COO	 7	 扫脸	 v
11	 VOB	 10	 技术	 n
12	 WP	 3	 。	 wp

该技术是由蚂蚁金服与face++合作研发。
0	 ATT	 1	 该	 r
1	 SBV	 2	 技术	 n
2	 HED	 -1	 是	 v
3	 ADV	 8	 由	 p
4	 ATT	 5	 蚂蚁	 n
5	 POB	 3	 金服	 n
6	 ADV	 8	 与	 p
7	 POB	 6	 face	 nh
8	 VOB	 2	 合作	 v
9	 COO	 8	 研发	 v
10	 WP	 2	 。	 wp

在购物后的支付认证阶段通过扫脸取代传统密码。
0	 ADV	 9	 在	 p
1	 ATT	 2	 购物	 v
2	 POB	 0	 后	 nd
3	 RAD	 0	 的	 u
4	 ATT	 6	 支付	 v
5	 VOB	 4	 认证	 v
6	 ADV	 9	 阶段	 n
7	 ADV	 9	 通过	 p
8	 POB	 7	 扫脸	 v
9	 HED	 -1	 取代	 v
10	 ATT	 11	 传统	 n
11	 VOB	 9	 密码	 n
12	 WP	 9	 。	 wp

能达到超过99%识别率。
0	 ADV	 1	 能	 v
1	 HED	 -1	 达到	 v
2	 VOB	 1	 超过	 v
3	 ATT	 4	 99%	 m
4	 VOB	 2	 识别率	 n
5	 WP	 1	 。	 wp

在马云刷脸时。
0	 HED	 -1	 在	 p
1	 SBV	 2	 马云	 nh
2	 ATT	 4	 刷	 v
3	 VOB	 2	 脸	 n
4	 POB	 0	 时	 n
5	 WP	 0	 。	 wp

后台验证需要处理大量来自面部的数据信息。
0	 SBV	 1	 后台	 n
1	 ADV	 2	 验证	 v
2	 HED	 -1	 需要	 v
3	 VOB	 2	 处理	 v
4	 ATT	 9	 大量	 m
5	 ATT	 9	 来自	 v
6	 VOB	 5	 面部	 n
7	 RAD	 5	 的	 u
8	 ATT	 9	 数据	 n
9	 VOB	 3	 信息	 n
10	 WP	 2	 。	 wp

包括结构、五官以及肌肉等方面的数据分析。
0	 HED	 -1	 包括	 v
1	 ATT	 7	 结构	 n
2	 WP	 3	 、	 wp
3	 COO	 1	 五官	 n
4	 LAD	 5	 以及	 c
5	 COO	 1	 肌肉	 n
6	 RAD	 1	 等	 u
7	 ATT	 9	 方面	 n
8	 RAD	 7	 的	 u
9	 VOB	 0	 数据	 n
10	 RAD	 0	 分析	 v
11	 WP	 0	 。	 wp

从而来比对识别“是不是马云”。
0	 ADV	 1	 从而	 c
1	 ADV	 2	 来	 v
2	 SBV	 6	 比	 p
3	 ADV	 6	 对	 p
4	 POB	 3	 识别	 v
